mmsi,brokenCount,count,judgedBrokenDT
431004794,0,6,0
441773000,0,4,0
431600477,0,0,0
564619000,0,0,0
431004684,0,1,0
356665000,0,4,0
431600499,0,6,0
354218000,0,3,0
431306000,0,5,0
431000851,0,9,0
431301565,0,9,0
441828000,0,9,0
431301648,1,12,40912
477024800,0,7,0
431006292,0,0,0
431500394,0,0,0
431005249,0,1,0
431005676,0,0,0
431401954,0,1,0
431004777,0,0,0
440773000,0,0,0
533937000,0,0,0
477095200,0,0,0
370105000,0,4,0
566535000,0,4,0
431006227,0,1,0
431501765,0,3,0
431005008,0,4,0
431501487,0,2,0
431004059,0,0,0
431400039,2,9,40912
431000523,0,1,0
266259000,0,0,0
431500955,1,2,40912
372765000,0,0,0
355342000,0,0,0
373672000,0,0,0
431501839,0,3,0
373338000,0,0,0
431200647,0,0,0
431301574,0,1,0
370552000,0,2,0
440497000,0,1,0
431000306,0,0,0
431003635,0,7,0
431300108,0,0,0
431003074,0,5,0
431004338,0,3,0
431500077,0,0,0
636091384,0,0,0
354797000,0,0,0
309972000,0,0,0
515321000,0,0,0
565096000,0,0,0
432970000,0,4,0
441599000,0,2,0
431004606,0,2,0
432734000,0,0,0
209611000,0,0,0
441601000,0,0,0
431005691,0,1,0
431003911,0,0,0
431500239,0,0,0
431500007,0,0,0
431501855,0,0,0
354117000,0,0,0
413329850,0,0,0
514419000,0,0,0
351868000,0,0,0
353510000,0,6,0
431400486,1,8,40913
431002865,0,6,0
431402036,0,6,0
431402043,0,4,0
431002283,0,0,0
431400539,0,0,0
431005534,0,0,0
431000864,0,0,0
431400446,0,4,0
441571000,0,1,0
440403000,0,0,0
356468000,0,0,0
247190800,0,0,0
352768000,0,0,0
636016248,0,0,0
373734000,0,0,0
311010400,0,2,0
370795000,0,0,0
477014200,0,0,0
440945000,0,0,0
431002068,0,0,0
431006666,0,2,0
431600086,0,7,0
431002547,0,0,0
352641000,0,0,0
548885000,0,0,0
371595000,0,0,0
432974000,0,0,0
477936500,0,0,0
440824000,0,0,0
371756000,0,0,0
373372000,0,0,0
305484000,0,0,0
441185000,0,0,0
312950000,0,3,0
431501701,0,0,0
431600894,1,0,40912
431001151,0,4,0
431401318,0,8,0
431005056,0,18,0
431300705,1,15,40912
353250000,0,1,0
431501732,0,0,0
477282900,0,0,0
515799000,0,0,0
440718000,0,0,0
440077000,0,0,0
431004193,0,17,0
431401857,0,16,0
431001343,0,8,0
431000903,0,0,0
440861000,0,1,0
431004753,0,0,0
636015819,0,0,0
431000776,0,3,0
431400239,0,17,0
311703000,0,12,0
431001014,0,13,0
431003459,0,7,0
431004494,0,9,0
431100283,0,10,0
431392000,0,16,0
431600411,0,12,0
431000706,0,7,0
431501293,0,8,0
441379000,0,0,0
431001045,0,0,0
538005870,0,0,0
352438000,0,0,0
566857000,0,0,0
431005238,0,0,0
431004095,0,14,0
636013286,0,23,0
431000691,0,16,0
431300188,0,13,0
372180000,0,1,0
431001427,0,15,0
431006123,0,2,0
431300167,1,15,40913
431501858,0,4,0
431602168,0,6,0
431301679,0,8,0
431000331,1,11,40912
431501779,0,7,0
432528000,0,12,0
431501813,0,0,0
431005921,0,0,0
514228000,0,0,0
431602207,0,0,0
229265000,0,0,0
636090899,0,0,0
373187000,0,0,0
431004885,0,8,0
431301674,0,11,0
431003628,0,0,0
477203300,0,0,0
431800677,0,0,0
565963000,0,0,0
477982500,0,0,0
440080000,0,0,0
538004678,0,0,0
441017000,0,0,0
477855900,0,0,0
440144280,0,0,0
431002983,0,0,0
431004129,0,6,0
431301595,0,6,0
431003205,1,9,40912
431300775,0,15,0
431500541,0,0,0
431005951,0,0,0
373540000,0,0,0
356443000,0,0,0
566491000,0,0,0
440054000,0,11,0
431000981,0,10,0
431006014,0,13,0
431100886,0,10,0
431501603,1,16,40913
209371000,0,0,0
565677000,0,0,0
441781000,0,0,0
357502000,0,17,0
431000406,2,18,40911
431501698,0,8,0
431000963,0,20,0
431001086,0,21,0
431001826,0,0,0
431005107,0,0,0
440484000,0,0,0
440013000,0,0,0
538005672,0,0,0
477076500,0,0,0
431004341,0,7,0
431601396,0,0,0
636092200,0,20,0
413376690,1,11,40913
431401899,0,17,0
431300717,1,15,40913
432702000,0,19,0
431004661,0,14,0
431000938,0,4,0
431300284,0,0,0
431200187,0,0,0
441737000,0,0,0
636016673,0,0,0
431005639,0,3,0
431402072,0,5,0
431501727,1,11,40913
431500304,0,11,0
431501479,0,0,0
431003903,0,0,0
477036500,0,1,0
354211000,0,0,0
372041000,0,0,0
309459000,0,0,0
477325500,0,0,0
431001357,0,5,0
431300014,2,12,40912
431301812,0,14,0
431400593,0,0,0
431301698,0,0,0
441978000,0,0,0
211343310,0,0,0
477881900,0,0,0
440368000,0,0,0
431500212,0,0,0
431300131,0,5,0
431000443,0,12,0
431500535,0,2,0
440109000,0,2,0
431500862,0,0,0
477070400,0,0,0
432255000,0,0,0
431100878,0,0,0
431301641,0,15,0
441906000,0,1,0
431401905,0,16,0
431002504,0,10,0
209075000,0,5,0
431005547,0,11,0
431601987,1,10,40913
441371000,0,11,0
431002935,1,5,40912
431002584,0,0,0
431697000,0,0,0
431500458,0,0,0
413456130,0,0,0
353987000,0,0,0
373970000,0,0,0
372025000,0,0,0
372125000,0,0,0
432808000,0,0,0
413630090,0,0,0
431402056,0,5,0
431000252,0,5,0
431300411,0,10,0
353861000,0,14,0
431400418,1,15,40911
431400422,0,8,0
353645000,1,12,40913
431200271,0,12,0
431100682,0,10,0
477089200,2,11,40913
431004397,0,7,0
431002092,0,14,0
431401953,0,9,0
431402073,0,8,0
431003556,0,9,0
514869000,0,0,0
431401051,0,5,0
999999991,0,5,0
431004083,0,0,0
477335600,0,1,0
565555000,0,0,0
431005341,0,0,0
477767600,0,9,0
431200705,0,5,0
351223000,0,0,0
312524000,0,1,0
305126000,0,0,0
432921000,0,0,0
